# m c logL logPrior
-1.173948086621042641e+01 -5.716639405920364680e+00 -1.743599645080582937e+06 -6.890770550406034589e-01
-1.259941704428818099e+01 8.948282769015691862e-02 -1.738013186658271821e+06 -7.937265492794977062e-01
-1.269303078937150886e+01 7.702002093198854205e-01 -1.736043349882041337e+06 -8.055651530996655874e-01
-1.117939126280761464e+01 -8.811043198226105488e+00 -1.726265859285909915e+06 -6.248939450346960855e-01
-1.100668930401779733e+01 -9.656949727351049617e+00 -1.717559738268386805e+06 -6.057360471758990172e-01
-1.347399687854872852e+01 6.602584075091247229e+00 -1.716652600017645862e+06 -9.077429594157043757e-01
1.932839457540221062e+01 3.387843614389301372e+00 -1.714716997075821273e+06 -1.867934184312187940e+00
-1.163620789918758192e+01 -5.143880002687428288e+00 -1.702904165806237608e+06 -6.770066713655774615e-01
-1.134762158783646946e+01 -6.782664909305545997e+00 -1.695310607277994277e+06 -6.438425785036613336e-01
-1.170971932964053863e+01 -4.236915279790347100e+00 -1.689035548516877694e+06 -6.855876338947862747e-01
-1.237829809799625380e+01 2.774746866410633395e-01 -1.685104855282296659e+06 -7.661113190142884166e-01
-1.250555371188422704e+01 1.383610537567257381e+00 -1.676775584838434821e+06 -7.819443682041069543e-01
-1.115079257741936658e+01 -7.483834498786844591e+00 -1.676739202740731882e+06 -6.217008755231541173e-01
-1.090342877646949660e+01 -9.054258443933273171e+00 -1.676007085234787781e+06 -5.944237954177156169e-01
-1.126903987182630829e+01 -6.386720079864772082e+00 -1.665976181485904148e+06 -6.349562981640554105e-01
-1.077789673141810667e+01 -8.229891051513602562e+00 -1.623269757552772993e+06 -5.808152897655655122e-01
-1.221398447463759496e+01 1.183824859228304049e+00 -1.622351210671531036e+06 -7.459070837334411674e-01
-1.128399499263477423e+01 -4.733245661075118349e+00 -1.616246146901556989e+06 -6.366427149690332410e-01
-1.183266813959764363e+01 -3.556040626423200290e-01 -1.591795671298566274e+06 -7.000601765092459017e-01
-1.095489855689942260e+01 -5.991680708077359974e+00 -1.588495130024647806e+06 -6.000490119597852168e-01
-1.137111519169319607e+01 -2.923791550402054629e+00 -1.577334420592631679e+06 -6.465113035137788344e-01
-1.164782558358206010e+01 -1.070110827011749421e+00 -1.576195381806545192e+06 -6.783592041277438645e-01
-1.084296101322567907e+01 -6.118381627001900469e+00 -1.569695481843870133e+06 -5.878490176716600901e-01
2.013240794924194077e+01 -6.730158181757194491e+00 -1.567904310391242150e+06 -2.026569249173500786e+00
-1.236145693411027224e+01 4.024649229656763971e+00 -1.565339910368741257e+06 -7.640280876693147372e-01
-1.278365484737589242e+01 7.138803501921074712e+00 -1.557188788696517237e+06 -8.171091562841856781e-01
1.901551649232172636e+01 -1.596359997368050898e-01 -1.539363599003636744e+06 -1.807949337348798036e+00
-1.032392659280256098e+01 -8.260118280986603168e+00 -1.531951731914699078e+06 -5.329173014678795228e-01
-1.021313295060965132e+01 -8.963942094623776669e+00 -1.531706008708544541e+06 -5.215404233341429663e-01
-1.035723654499789070e+01 -8.005079378668789047e+00 -1.530683827912041452e+06 -5.363617442451991124e-01
-1.213579354269111121e+01 3.692839079346022402e+00 -1.529839191451333463e+06 -7.363874245541163210e-01
-1.114906224468187546e+01 -2.729119709578700981e+00 -1.526513451179734198e+06 -6.215079446789543161e-01
-1.163350531153412604e+01 1.091060900674221790e+00 -1.507516004054832971e+06 -6.766922291674637435e-01
